Name,Year,Genres,Budget,domestic_gross,foreign_gross,worldwide_gross
everything must go,2010.0,"comedy-drama, drama, comedy",5000000.0,,,
everything put together,2002.0,"psychological thriller, indie",500000.0,,,
everything will be fine,2010.0,"thriller, detective, comedy-drama, gay, mystery, gay interest, drama, gay themed",,,,
everything will be ok,2006.0,"short film, animation",,,,
everything you always wanted to know,1972.0,,2000000.0,,,
everything you always wanted to know about sex (but were afraid to ask),1972.0,"romantic comedy, cult, fantasy, comedy, black comedy, romance film",,,,
everything you want,2005.0,"romantic comedy, romance film, comedy, television movie",,,,
everything's cool,2006.0,"culture & society, environmental science, indie, nature, social issues, documentary",,,,
everything's ducky,1961.0,comedy,,,,
everything's gone green,2007.0,"black comedy, coming of age, comedy, indie",,,,
everything's gonna be great,1998.0,"drama, comedy",,,,
everything's jake,2007.0,"drama, indie, comedy",,,,
everything's on ice,1939.0,"romantic comedy, musical, black-and-white",,,,
everything's rosie,1931.0,"romance film, comedy film",,,,
"everything, everything",2017.0,,10000000.0,34121140.0,27600000.0,61721140.0
everywhere and nowhere,2011.0,drama,,,,
everywoman's husband,1918.0,"silent film, drama, black-and-white",,,,
evidam swargamanu,2009.0,drama,,,,
evidence,1915.0,"silent film, drama",,,,
evidence of revision,2006.0,documentary,,,,
evil,2003.0,"drama, world cinema",,,,
evil,2006.0,"zombie film, action, horror, comedy, world cinema",,,,
evil - in the time of heroes,2009.0,"zombie film, horror, comedy, world cinema, adventure",,,,
evil alien conquerors,2002.0,"parody, science fiction, comedy, adventure",,,,
evil aliens,2005.0,"parody, science fiction, horror, horror comedy, slapstick, comedy",,,,
evil ambitions,1996.0,"b-movie, horror",,,,
evil angel,2009.0,"thriller, horror",,,,
evil behind you,2006.0,"science fiction, action, comedy",,,,
evil bong,2006.0,"horror, cult, comedy, black comedy, stoner film, horror comedy",,,,
evil bong 2: king bong,2009.0,"cult, black comedy, comedy",,,,
evil brain from outer space,1964.0,"japanese movies, superhero movie",,,,
evil breed: the legend of samhain,2003.0,"horror, slasher, teen",,,,
evil calls: the raven,2008.0,horror,,,,
evil cat,1986.0,"horror, chinese movies, world cinema",,,,
evil clutch,1989.0,"thriller, horror, indie",,,,
evil dead,2013.0,,17000000.0,54239856.0,43538500.0,97778356.0
evil dead (2013),2013.0,,,,,
evil dead ii,1987.0,"horror, stop motion, cult, comedy, splatter film, zombie film, black comedy",3500000.0,,,
evil dead rise,2023.0,,,,,
evil dead trap,1988.0,"japanese movies, horror, world cinema",,,,
evil ed,1997.0,"b-movie, horror comedy, horror, slasher, comedy",,,,
evil empire: a talk by chalmers johnson,2007.0,sponsored film,,,,
evil eyes,2004.0,"psychological thriller, slasher, horror, indie, supernatural",,,,
evil laugh,1988.0,"mystery, horror, b-movie, slasher",,,,
evil roy slade,1972.0,"parody, comedy western, television movie, action/adventure, western, comedy, romance film",,,,
evil speak,1981.0,"horror, supernatural",,,,
evil streets,1998.0,"b-movie, horror",,,,
evil things,2009.0,"horror, slasher",,,,
evil toons,1992.0,"parody, thriller, horror, supernatural, animation, fantasy, comedy, horror comedy, sexploitation",,,,
evil town,1987.0,horror,,,,
evil twin,2007.0,horror,,,,
evil under the sun,2003.0,"crime fiction, mystery, drama",,,,
evil under the sun,1982.0,"thriller, crime fiction, mystery, drama, suspense, crime thriller",,,,
evil weed,2009.0,"b-movie, horror",,,,
evilenko,2004.0,"lgbt, thriller, world cinema, psychological thriller, drama, crime thriller",,,,
evils of the night,1985.0,"alien film, science fiction, horror, slasher, teen",,,,
evita,2006.0,,55000000.0,,,
evita,1996.0,"musical, biography, drama",55000000.0,,,
evolusi kl drift,2008.0,"action, auto racing",,,,
evolusi kl drift 2,2010.0,action,,,,
evolution: the musical!,2008.0,"short film, black comedy, musical, satire, comedy",,,,
evolver,1995.0,"science fiction, horror, sci-fi horror, teen",,,,
evolver: the making of youthanasia,1994.0,documentary,,,,
ewiger wald,1936.0,documentary,,,,
ewoks: the battle for endor,1985.0,"stop motion, science fiction, action, adventure, ""childrens/family""",,,,
ex cathedra,2009.0,"thriller, drama",,,,
ex drummer,2007.0,"crime fiction, thriller, punk rock, world cinema, musical, drama, comedy, black comedy, biographical film",,,,
ex – amici come prima!,2011.0,comedy film,,,,
ex$pendable,2008.0,crime fiction,,,,
ex-lady,1933.0,"romantic comedy, romance film, pre-code, sex comedy, black-and-white",,,,
ex-plumber,1931.0,"short film, comedy, black-and-white",,,,
ex0files 2: the backup strikes back,2015.0,,,,,
exam,2009.0,"thriller, mystery",,,,
examined life,2008.0,documentary,,,,
excalibur,1981.0,"fantasy adventure, adventure, costume drama, action/adventure, fantasy, mythological fantasy, drama, sword and sorcery, sword and sorcery films",,,,
exception to the rule,1997.0,"thriller, action",,,,
excess baggage,1933.0,comedy film,,,,
excess baggage,1997.0,"romantic comedy, romance film, comedy",,,,
excess baggage,1928.0,"silent film, comedy film",,,,
excessive force,1993.0,"thriller, crime fiction, gangster film, action/adventure, martial arts film, action",13000000.0,,,
excessive force ii: force on force,1995.0,"thriller, action/adventure, action",,,,
exchange of wives,1925.0,"romantic comedy, romance film, silent film, comedy",,,,
excision,2012.0,"drama, black comedy, horror, thriller",,,,
excited,2009.0,"romantic comedy, romance film, comedy, indie",,,,
excuse me,1925.0,"romantic comedy, romance film, silent film, comedy, black-and-white",,,,
excuse my dust,1920.0,"silent film, drama, comedy",,,,
excuse my glove,1936.0,"sports, comedy film",,,,
execution in autumn,1972.0,drama,,,,
executioners,1993.0,"world cinema, superhero movie, action/adventure, martial arts film, action, chinese movies",,,,
executioners from shaolin,1976.0,"action, martial arts film, drama, chinese movies",,,,
executive action,1973.0,"crime fiction, action/adventure, drama, political thriller, action, political drama",,,,
executive decision,1996.0,"action/adventure, thriller, action thrillers, action, airplanes and airports",55000000.0,,,
executive protection,2001.0,"action, detective",,,,
executive suite,1954.0,"drama, film adaptation",,,,
exeter,2015.0,,25000.0,,,
exhuma,2024.0,,,,,
exile express,1939.0,"thriller, mystery, psychological thriller, escape film",,,,
exiled,2007.0,"thriller, crime fiction, world cinema, action/adventure, action, chinese movies",,,,
exiled: a law & order movie,1998.0,drama,,,,
exils,2003.0,"japanese movies, drama, world cinema",,,,
existenz,1999.0,"thriller, science fiction, future noir, adventure, psychological thriller, crime thriller",20700000.0,,,
exit,2019.0,,,,,
exit 10,1979.0,short film,,,,
exit in red,1996.0,"thriller, romance film, drama",,,,
exit smiling,1926.0,"silent film, comedy-drama",,,,
exit speed,2008.0,"thriller, action/adventure, action thrillers, action, chase movie",,,,
"exit the dragon, enter the tiger",1976.0,"crime fiction, action, drama",,,,
exit through the gift shop,2010.0,"culture & society, bloopers & candid camera, graphic & applied arts, indie, documentary",,,,
exit to eden,1994.0,"thriller, sex comedy, indie, detective, detective fiction, comedy thriller, satire, comedy, black comedy",,,,
exo oi kleftes,1961.0,comedy,,,,
exodus,2007.0,"comedy, world cinema, chinese movies",4000000.0,,,
exodus,1960.0,"war film, epic, action/adventure, period piece, drama, film adaptation, action, political drama",4000000.0,,,
exodus,2007.0,drama,4000000.0,,,
exodus decoded,2006.0,documentary,,,,
exodus: a journey to the mountain of god,1992.0,documentary,,,,
exodus: gods and kings,2014.0,,140000000.0,65014513.0,203300000.0,268314513.0
exodus: tales from the enchanted kingdom,2005.0,"action/adventure, fantasy, filipino movies, world cinema",,,,
exorcism: the possession of gail bowers,2006.0,horror,,,,
